test_subject,test_acc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_specificity
1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
2,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
3,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
4,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
5,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
6,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
7,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
8,0.8571428571428571,0.8571428571428571,0.9285714285714284,1.0,0.7142857142857143,0.8333333333333333,1.0
9,0.8571428571428571,1.0,0.9999999999999998,1.0,0.7142857142857143,0.8333333333333333,1.0
11,0.9285714285714286,0.8979591836734694,0.9404761904761902,1.0,0.8571428571428571,0.923076923076923,1.0
12,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
13,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
15,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
16,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
17,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
18,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
19,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
20,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
22,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
23,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
24,0.9285714285714286,0.9183673469387754,0.9480519480519478,1.0,0.8571428571428571,0.923076923076923,1.0
25,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
26,0.9285714285714286,0.9591836734693877,0.9682539682539681,1.0,0.8571428571428571,0.923076923076923,1.0
28,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
30,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
31,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
32,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
34,0.9285714285714286,0.8979591836734694,0.9404761904761902,1.0,0.8571428571428571,0.923076923076923,1.0
35,0.9285714285714286,1.0,0.9999999999999998,1.0,0.8571428571428571,0.923076923076923,1.0
36,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
37,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
38,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
