fold,test_subject,locked_lr,locked_epochs,locked_wd,locked_warmup,test_acc,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_specificity,test_bal_acc
0,1,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
1,2,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
2,3,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
3,4,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
4,5,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
5,6,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
6,7,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
7,8,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
8,9,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
9,11,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
10,12,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
11,13,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
12,15,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
13,16,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
14,17,0.0001,10,0.05,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
15,18,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
16,19,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
17,20,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
18,22,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
19,23,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
20,24,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
21,25,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
22,26,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
23,28,0.0001,10,0.05,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,30,0.0001,10,0.05,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,31,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
26,32,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
27,34,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
28,35,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
29,36,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
30,37,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
31,38,0.0001,10,0.05,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
32,39,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
33,40,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
34,41,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
35,42,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
36,43,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
37,44,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
38,45,0.0001,10,0.05,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,46,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
40,47,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
41,48,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
42,49,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
43,50,0.0001,10,0.05,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,51,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
45,53,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
46,54,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
47,55,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
48,56,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
49,57,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
50,58,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
51,59,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
52,60,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
53,61,0.0001,10,0.05,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
54,62,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
55,63,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
56,64,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
57,65,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
58,66,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
59,67,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
60,68,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
61,69,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
62,70,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
63,71,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
64,72,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
65,74,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
66,75,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
67,76,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
68,77,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
69,78,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
70,79,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
71,81,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
72,83,0.0001,10,0.05,1,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
